time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-11-30T04:38:49.068Z,-21.6071,169.0216,10,5,mb,,93,2.439,0.46,us,us6000g7th,2021-12-01T01:12:16.040Z,"118 km E of Tadine, New Caledonia",earthquake,9.5,1.9,0.061,86,reviewed,us,us
2021-11-30T04:31:21.025Z,41.8528,-126.1273,10.59,2.9,ml,,258,1.681,0.4,us,us6000g7te,2021-12-01T01:05:49.040Z,"150 km WSW of Pistol River, Oregon",earthquake,4.1,10,0.038,92,reviewed,us,us
2021-11-30T04:02:44.664Z,65.5297,-153.6348,26,2.7,ml,,,,1.05,ak,ak021fcfw6mq,2021-12-01T00:58:08.040Z,"64 km SSE of Hughes, Alaska",earthquake,,0.8,,,automatic,ak,ak
2021-11-30T04:00:40.443Z,37.7488,26.0722,10,5.1,mww,,43,1.473,0.52,us,us6000g7ta,2021-12-01T05:54:28.040Z,"24 km NW of Agios Kirykos, Greece",earthquake,5.3,1.8,0.086,13,reviewed,us,us
2021-11-30T03:30:27.380Z,37.9098333,-122.2888333,4.88,2.5,md,102,21,0.01465,0.09,nc,nc73659805,2021-12-02T00:23:42.755Z,"1km W of Kensington, CA",earthquake,0.11,0.15,0.123,81,reviewed,nc,nc
2021-11-30T03:23:49.440Z,17.9721,-67.0031,9,3.16,md,26,167,0.0412,0.11,pr,pr2021334001,2021-11-30T23:52:03.040Z,"4 km E of La Parguera, Puerto Rico",earthquake,0.36,0.5,0.1,13,reviewed,pr,pr
2021-11-30T02:29:42.351Z,-58.8001,-25.2939,35,4.6,mb,,114,9.989,0.78,us,us6000g7su,2021-11-30T23:45:31.040Z,South Sandwich Islands region,earthquake,12,2,0.098,31,reviewed,us,us
2021-11-30T02:21:37.140Z,37.5735,-118.6291667,12.76,2.74,md,28,62,0.0983,0.08,nc,nc73659755,2021-12-01T04:22:11.247Z,"5km ENE of Toms Place, CA",earthquake,0.38,0.72,0.162,48,reviewed,nc,nc
2021-11-30T02:20:48.160Z,19.16533333,-155.4791667,33.39,2.57,md,51,100,,0.11,hv,hv72817077,2021-11-30T06:50:23.360Z,"4 km S of P?hala, Hawaii",earthquake,0.44,0.59,0.218091054,20,reviewed,hv,hv
2021-11-30T01:13:19.310Z,-22.4708,-69.4819,89.35,4.3,mb,,89,0.248,0.65,us,us6000g7sc,2021-11-30T22:40:31.040Z,"57 km W of Calama, Chile",earthquake,3.1,5.4,0.148,13,reviewed,us,us
2021-11-30T00:56:07.558Z,6.7224,126.1127,58.03,5.1,mww,,36,0.632,0.85,us,us6000g7s9,2021-12-01T05:43:26.040Z,"1 km ENE of Talisay, Philippines",earthquake,7.1,4.8,0.098,10,reviewed,us,us
2021-11-30T00:30:46.587Z,31.0927,142.4173,10,4.6,mb,,136,2.991,0.56,us,us6000g7sa,2021-11-30T01:30:05.040Z,"Izu Islands, Japan region",earthquake,11.5,1.9,0.067,67,reviewed,us,us
2021-11-30T00:17:54.230Z,17.9085,-66.8048,6,2.51,md,8,224,0.0998,0.17,pr,pr2021334000,2021-11-30T00:30:26.944Z,"9 km S of Indios, Puerto Rico",earthquake,0.76,0.46,0.14,6,reviewed,pr,pr
2021-11-29T23:56:27.590Z,17.8713,-66.8716,16,2.84,md,16,214,0.1041,0.12,pr,pr2021333008,2021-11-30T00:22:28.480Z,"11 km SSE of Guánica, Puerto Rico",earthquake,0.5,0.7,0.35,11,reviewed,pr,pr
2021-11-29T23:34:44.255Z,31.218,142.4832,10,4.4,mb,,136,6.125,0.8,us,us6000g7s1,2021-11-30T00:14:59.040Z,"Izu Islands, Japan region",earthquake,6.6,1.9,0.117,21,reviewed,us,us
2021-11-29T23:29:26.110Z,17.9788,-67.005,10,2.57,md,15,165,0.0403,0.17,pr,pr2021333007,2021-11-29T23:44:52.704Z,"4 km E of La Parguera, Puerto Rico",earthquake,0.42,0.67,0.27,12,reviewed,pr,pr
2021-11-29T23:03:16.153Z,-6.8102,104.1784,40.97,4.7,mb,,73,2.72,0.78,us,us6000g7rp,2021-11-29T23:31:10.040Z,"188 km WSW of Labuan, Indonesia",earthquake,4.7,7.8,0.09,38,reviewed,us,us
2021-11-29T22:29:49.216Z,31.1512,142.4568,10,4.6,mb,,136,2.976,0.63,us,us6000g7ri,2021-11-29T23:01:38.040Z,"Izu Islands, Japan region",earthquake,4.7,1.9,0.075,53,reviewed,us,us
2021-11-29T21:22:06.745Z,20.5276,94.0807,57.69,4.4,mb,,160,2.071,0.68,us,us6000g7qn,2021-11-29T21:41:32.040Z,"82 km W of Yenangyaung, Myanmar",earthquake,3.7,11,0.311,3,reviewed,us,us
2021-11-29T20:45:07.700Z,38.3733333,-112.774,4.46,2.85,ml,29,57,0.0778,0.12,uu,uu60470287,2021-11-30T00:12:18.371Z,"15 km NW of Beaver, Utah",earthquake,0.26,0.83,0.232,14,reviewed,uu,uu
2021-11-29T20:33:31.764Z,4.2361,-76.3497,118.83,4.9,mb,,85,2.106,1,us,us6000g7q7,2021-11-29T23:40:17.581Z,"4 km NW of Trujillo, Colombia",earthquake,7.3,6.7,0.079,50,reviewed,us,us
2021-11-29T20:10:14.828Z,-18.364,168.7418,79.45,4.6,mb,,101,3.253,0.77,us,us6000g7q3,2021-11-29T20:40:49.040Z,"82 km SSE of Port-Vila, Vanuatu",earthquake,5.8,7.9,0.084,42,reviewed,us,us
2021-11-29T20:00:14.409Z,30.0542,-113.7832,10,4.6,mb,,154,1.345,0.97,us,us6000g7q0,2021-11-29T20:29:02.040Z,"106 km W of La Libertad, Mexico",earthquake,6.1,1.9,0.107,26,reviewed,us,us
