time,latitude,longitude,depth,mag,magType,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-11-30 11:14:41.125000+00:00,-24.7136,-69.6022,133.22,4.3,mb,67.0,0.7340000000000001,0.77,us,us6000g7vh,2021-11-30 12:19:13.040000+00:00,"117 km NE of Taltal, Chile",earthquake,6.8,8.5,0.201,7.0,reviewed,us,us
2021-11-30 11:14:07.887000+00:00,-3.6027,151.0822,10.0,5.0,mb,70.0,1.227,0.63,us,us6000g7vl,2021-11-30 16:29:56.414000+00:00,"118 km SSE of Kavieng, Papua New Guinea",earthquake,7.9,1.9,0.083,49.0,reviewed,us,us
2021-11-30 11:10:41.928000+00:00,32.2147,142.1167,10.0,4.9,mb,206.0,2.1390000000000002,0.44,us,us6000g7vj,2021-11-30 11:57:33.040000+00:00,"Izu Islands, Japan region",earthquake,10.0,1.9,0.17600000000000002,10.0,reviewed,us,us
2021-11-30 11:09:38.749000+00:00,-3.8582,151.5681,10.0,5.0,mb,87.0,0.68,0.85,us,us6000g7vi,2021-11-30 11:47:39.040000+00:00,"76 km WNW of Rabaul, Papua New Guinea",earthquake,7.1,1.9,0.083,46.0,reviewed,us,us
2021-11-30 10:52:17.579000+00:00,-3.5956,150.8695,10.0,5.0,mb,88.0,1.42,0.5,us,us6000g7vp,2021-11-30 12:04:12.040000+00:00,"113 km S of Kavieng, Papua New Guinea",earthquake,3.9,1.9,0.09300000000000001,37.0,reviewed,us,us
2021-11-30 10:36:18.247000+00:00,-3.5165,151.1803,10.0,6.3,mww,34.0,1.188,0.56,us,us6000g7v8,2021-12-01 10:41:33.449000+00:00,"112 km SSE of Kavieng, Papua New Guinea",earthquake,6.3,1.8,0.05,38.0,reviewed,us,us
2021-11-30 10:32:24.224000+00:00,37.6103,25.865,10.0,4.2,mb,75.0,1.672,0.79,us,us6000g7uy,2021-11-30 13:13:01.040000+00:00,"37 km W of Agios Kirykos, Greece",earthquake,5.8,1.9,0.11,23.0,reviewed,us,us
2021-11-30 10:11:11.900000+00:00,36.045333299999996,-117.87133329999999,3.49,2.78,ml,34.0,0.04057,0.12,ci,ci39874375,2021-11-30 21:18:52.790000+00:00,"7km E of Coso Junction, CA",earthquake,0.14,0.33,0.205,25.0,reviewed,ci,ci
2021-11-30 09:13:00.330000+00:00,36.46333333,-98.78216667,6.0,2.53,ml,37.0,0.0,0.21,ok,ok2021xlct,2021-11-30 14:13:18.107000+00:00,"15 km SSE of Waynoka, Oklahoma",earthquake,,0.3,0.22,40.0,reviewed,ok,ok
2021-11-30 07:32:21.412000+00:00,41.8709,-125.8376,10.0,2.7,ml,252.0,1.465,0.85,us,us6000g7u4,2021-12-01 07:11:32.040000+00:00,"127 km WSW of Pistol River, Oregon",earthquake,6.2,2.0,0.045,66.0,reviewed,us,us
2021-11-30 07:28:35.240000+00:00,17.9773,-67.0098,10.0,2.57,md,156.0,0.0353,0.09,pr,pr2021334002,2021-11-30 07:44:22.646000+00:00,"3 km E of La Parguera, Puerto Rico",earthquake,0.44,0.57,0.05,6.0,reviewed,pr,pr
2021-11-30 07:10:44.696000+00:00,31.2164,142.4068,10.0,4.6,mb,96.0,2.9010000000000002,0.73,us,us6000g7u2,2021-12-01 06:40:02.040000+00:00,"Izu Islands, Japan region",earthquake,10.1,1.8,0.078,49.0,reviewed,us,us
2021-11-30 06:53:32.685000+00:00,31.2289,142.4773,7.86,5.5,mww,54.0,2.9389999999999996,0.66,us,us6000g7tw,2021-12-01 06:59:04.366000+00:00,"Izu Islands, Japan region",earthquake,8.4,4.1,0.078,16.0,reviewed,us,us
2021-11-30 06:34:23.984000+00:00,31.2043,142.4743,17.09,4.5,mb,136.0,2.9530000000000003,0.62,us,us6000g7tx,2021-11-30 07:41:16.040000+00:00,"Izu Islands, Japan region",earthquake,11.9,5.5,0.08900000000000001,37.0,reviewed,us,us
2021-11-30 04:38:49.068000+00:00,-21.6071,169.0216,10.0,5.0,mb,93.0,2.439,0.46,us,us6000g7th,2021-12-01 01:12:16.040000+00:00,"118 km E of Tadine, New Caledonia",earthquake,9.5,1.9,0.061,86.0,reviewed,us,us
2021-11-30 04:31:21.025000+00:00,41.8528,-126.1273,10.59,2.9,ml,258.0,1.681,0.4,us,us6000g7te,2021-12-01 01:05:49.040000+00:00,"150 km WSW of Pistol River, Oregon",earthquake,4.1,10.0,0.038,92.0,reviewed,us,us
2021-11-30 04:02:44.664000+00:00,65.5297,-153.6348,26.0,2.7,ml,,,1.05,ak,ak021fcfw6mq,2021-12-01 00:58:08.040000+00:00,"64 km SSE of Hughes, Alaska",earthquake,,0.8,,,automatic,ak,ak
2021-11-30 04:00:40.443000+00:00,37.7488,26.0722,10.0,5.1,mww,43.0,1.473,0.52,us,us6000g7ta,2021-12-01 05:54:28.040000+00:00,"24 km NW of Agios Kirykos, Greece",earthquake,5.3,1.8,0.086,13.0,reviewed,us,us
